Experiment	Sweeper	
Saved Date	28.05.2025 16:24:32	
User		
Date		
Start time	28.05.2025 16:07:32	
Sweep channel: Name	- None (Time) -	
Sweep channel: Start (V)	-Inf	
Sweep channel: Stop (V)	Inf	
Sweep channel: Points	20000	
Sweep channel: Max slew rate (V/s)	0E+0	
Sweep channel: Initial settling time (s)	20E+0	
Sweep channel: End settling time (s)	20E+0	
Sweep channel: Backward sweep	FALSE	
Sweep channel: Number of sweeps	1	
Sweep channel: Reset	FALSE	
Sweep Type	1D-Only SweepCh	
Acquire channels	Input 2 (V)	
Filter type	None	
Order		
Cutoff frq		
Comment01	b_P1_peak1_1741_3_top	

[DATA]
Points	Input 2 (V)
3.9800000E+2	-1.2204812E-1
3.9900000E+2	-1.2175848E-1
4.0000000E+2	-1.2708564E-1
4.0100000E+2	-1.2924129E-1
4.0200000E+2	-1.3313448E-1
4.0300000E+2	-1.1846139E-1
4.0400000E+2	-1.2216421E-1
4.0500000E+2	-1.2070882E-1
4.0600000E+2	-1.2309527E-1
4.0700000E+2	-1.1484321E-1
4.0800000E+2	-1.1292571E-1
4.0900000E+2	-1.2044817E-1
4.1000000E+2	-1.1701759E-1
4.1100000E+2	-1.2093321E-1
4.1200000E+2	-1.1826012E-1
4.1300000E+2	-1.2017189E-1
4.1400000E+2	-1.1657284E-1
4.1500000E+2	-1.2336338E-1
4.1600000E+2	-1.1906012E-1
4.1700000E+2	-1.1990616E-1
4.1800000E+2	-1.1804739E-1
4.1900000E+2	-1.1772452E-1
4.2000000E+2	-1.2026398E-1
4.2100000E+2	-1.1828723E-1
4.2200000E+2	-1.2004465E-1
4.2300000E+2	-1.1668746E-1
4.2400000E+2	-1.2365982E-1
4.2500000E+2	-1.1208193E-1
4.2600000E+2	-1.1846211E-1
4.2700000E+2	-1.1731161E-1
4.2800000E+2	-1.2028952E-1
4.2900000E+2	-1.1610740E-1
4.3000000E+2	-1.1785998E-1
4.3100000E+2	-1.2085281E-1
4.3200000E+2	-1.1640832E-1
4.3300000E+2	-1.1977907E-1
4.3400000E+2	-1.1615141E-1
4.3500000E+2	-1.1937945E-1
4.3600000E+2	-1.1225355E-1
4.3700000E+2	-1.1722794E-1
4.3800000E+2	-1.1306792E-1
4.3900000E+2	-1.2072852E-1
4.4000000E+2	-1.2800278E-1
4.4100000E+2	-1.2125272E-1
4.4200000E+2	-1.1687765E-1
4.4300000E+2	-1.2303444E-1
4.4400000E+2	-1.1919223E-1
4.4500000E+2	-1.1438876E-1
4.4600000E+2	-1.2222669E-1
4.4700000E+2	-1.1799406E-1
